z,locations,text
4.910771847,AZE,Azerbaijan
5.481178284,AZE,Azerbaijan
5.25153017,AZE,Azerbaijan
5.146774769,AZE,Azerbaijan
5.303894997,AZE,Azerbaijan
5.700523376,BHR,Bahrain
5.936869144,BHR,Bahrain
4.82397604,BHR,Bahrain
5.027186871,BHR,Bahrain
6.689711094,BHR,Bahrain
6.165133953,BHR,Bahrain
6.00737524,BHR,Bahrain
6.169673443,BHR,Bahrain
4.318909168,BGD,Bangladesh
4.607322216,BGD,Bangladesh
5.052278519,BGD,Bangladesh
5.08285141,BGD,Bangladesh
4.858481407,BGD,Bangladesh
4.985649109,BGD,Bangladesh
4.724443913,BGD,Bangladesh
4.660161018,BGD,Bangladesh
4.635564804,BGD,Bangladesh
4.633473873,BGD,Bangladesh
4.5561409,BGD,Bangladesh
5.657649994,BLR,Belarus
5.616976261,BLR,Belarus
5.463332176,BLR,Belarus
5.56413126,BLR,Belarus
5.525923252,BLR,Belarus
5.225307941,BLR,Belarus
5.749043465,BLR,Belarus
5.876466274,BLR,Belarus
5.812400818,BLR,Belarus
5.718907833,BLR,Belarus
5.177899361,BLR,Belarus
7.262290478,BEL,Belgium
7.218839645,BEL,Belgium
7.116590977,BEL,Belgium
6.853514194,BEL,Belgium
7.111363888,BEL,Belgium
6.935122013,BEL,Belgium
7.10366106,BEL,Belgium
6.855329037,BEL,Belgium
6.904219151,BEL,Belgium
6.948936462,BEL,Belgium
6.450644493,BLZ,Belize
5.955646515,BLZ,Belize
3.329801559,BEN,Benin
3.66713953,BEN,Benin
3.870279551,BEN,Benin
3.193468809,BEN,Benin
3.479412794,BEN,Benin
3.347419262,BEN,Benin
3.624664307,BEN,Benin
4.007357597,BEN,Benin
5.569091797,BTN,Bhutan
4.938578129,BTN,Bhutan
5.082128525,BTN,Bhutan
5.373986244,BOL,Bolivia
5.628419399,BOL,Bolivia
5.297872543,BOL,Bolivia
6.085579395,BOL,Bolivia
5.780620098,BOL,Bolivia
5.778874397,BOL,Bolivia
6.018894672,BOL,Bolivia
5.767428875,BOL,Bolivia
5.864798546,BOL,Bolivia
5.834329128,BOL,Bolivia
5.769723415,BOL,Bolivia
4.899806976,BIH,Bosnia and Herzegovina
4.963477135,BIH,Bosnia and Herzegovina
4.66851759,BIH,Bosnia and Herzegovina
4.994670868,BIH,Bosnia and Herzegovina
4.773144722,BIH,Bosnia and Herzegovina
5.123664379,BIH,Bosnia and Herzegovina
5.248954296,BIH,Bosnia and Herzegovina
5.117177963,BIH,Bosnia and Herzegovina
5.180865288,BIH,Bosnia and Herzegovina
4.739367008,BWA,Botswana
5.451147079,BWA,Botswana
3.553020239,BWA,Botswana
3.519921064,BWA,Botswana
4.835938931,BWA,Botswana
4.128298759,BWA,Botswana
4.031197071,BWA,Botswana
3.761964798,BWA,Botswana
3.498936653,BWA,Botswana
6.636771202,BRA,Brazil
6.320672989,BRA,Brazil
6.691424847,BRA,Brazil
7.000831604,BRA,Brazil
6.837331295,BRA,Brazil
7.037816525,BRA,Brazil
6.660003662,BRA,Brazil
